orthoID	genes
OG22_0	ABCA10,ABCA10_B,ABCA10_C,ABCA10_D,ABCA10_E,ABCA10_F,ABCA10_G,ABCA10_H,ABCA10_I,ABCA10_J,ABCA10_K,ABCA10_L,ABCA10_M,ABCA10_N,ABCA10_O,ABCA10_P,ABCA10_Q,ABCA10_R,ABCA10_S,ABCA10_T
OG23_0	ABCA12,ABCA12_B,ABCA12_C,ABCA12_D,ABCA12_E,ABCA12_F,ABCA12_G,ABCA12_H,ABCA12_I,ABCA12_J,ABCA12_K,ABCA12_L,ABCA12_M,ABCA12_N,ABCA12_O,ABCA12_P,ABCA12_Q,ABCA12_R,ABCA12_S,ABCA12_T
OG24_0	ABCA13,ABCA13_B,ABCA13_C,ABCA13_D,ABCA13_E,ABCA13_F,ABCA13_G,ABCA13_H,ABCA13_I,ABCA13_J,ABCA13_K,ABCA13_L,ABCA13_M,ABCA13_N,ABCA13_O,ABCA13_P,ABCA13_Q,ABCA13_R,ABCA13_S,ABCA13_T
OG25_0	ABCA2,ABCA2_B,ABCA2_C,ABCA2_D,ABCA2_E,ABCA2_F,ABCA2_G,ABCA2_H,ABCA2_I,ABCA2_J,ABCA2_K,ABCA2_L,ABCA2_M,ABCA2_N,ABCA2_O,ABCA2_P,ABCA2_Q,ABCA2_R,ABCA2_S,ABCA2_T
OG26_0	ABCA3,ABCA3_B,ABCA3_C,ABCA3_D,ABCA3_E,ABCA3_F,ABCA3_G,ABCA3_H,ABCA3_I,ABCA3_J,ABCA3_K,ABCA3_L,ABCA3_M,ABCA3_N,ABCA3_O,ABCA3_P,ABCA3_Q,ABCA3_R,ABCA3_S,ABCA3_T
OG27_0	ABCA5,ABCA5_B,ABCA5_C,ABCA5_D,ABCA5_E,ABCA5_F,ABCA5_G,ABCA5_H,ABCA5_I,ABCA5_J,ABCA5_K,ABCA5_L,ABCA5_M,ABCA5_N,ABCA5_O,ABCA5_P,ABCA5_Q,ABCA5_R,ABCA5_S,ABCA5_T
OG28_0	ABCA7,ABCA7_B,ABCA7_C,ABCA7_D,ABCA7_E,ABCA7_F,ABCA7_G,ABCA7_H,ABCA7_I,ABCA7_J,ABCA7_K,ABCA7_L,ABCA7_M,ABCA7_N,ABCA7_O,ABCA7_P,ABCA7_Q,ABCA7_R,ABCA7_S,ABCA7_T
OG29_0	ABCA9,ABCA9_B,ABCA9_C,ABCA9_D,ABCA9_E,ABCA9_F,ABCA9_G,ABCA9_H,ABCA9_I,ABCA9_J,ABCA9_K,ABCA9_L,ABCA9_M,ABCA9_N,ABCA9_O,ABCA9_P,ABCA9_Q,ABCA9_R,ABCA9_S,ABCA9_T
OG30_0	ABCB1,ABCB1_B,ABCB1_C,ABCB1_D,ABCB1_E,ABCB1_F,ABCB1_G,ABCB1_H,ABCB1_I,ABCB1_J,ABCB1_K,ABCB1_L,ABCB1_M,ABCB1_N,ABCB1_O,ABCB1_P,ABCB1_Q,ABCB1_R,ABCB1_S,ABCB1_T
OG31_0	ABCB10,ABCB10_B,ABCB10_C,ABCB10_D,ABCB10_E,ABCB10_F,ABCB10_G,ABCB10_H,ABCB10_I,ABCB10_J,ABCB10_K,ABCB10_L,ABCB10_M,ABCB10_N,ABCB10_O,ABCB10_P,ABCB10_Q,ABCB10_R,ABCB10_S,ABCB10_T
OG32_0	ABCB4,ABCB4_B,ABCB4_C,ABCB4_D,ABCB4_E,ABCB4_F,ABCB4_G,ABCB4_H,ABCB4_I,ABCB4_J,ABCB4_K,ABCB4_L,ABCB4_M,ABCB4_N,ABCB4_O,ABCB4_P,ABCB4_Q,ABCB4_R,ABCB4_S,ABCB4_T
OG33_0	ABCB5,ABCB5_B,ABCB5_C,ABCB5_D,ABCB5_E,ABCB5_F,ABCB5_G,ABCB5_H,ABCB5_I,ABCB5_J,ABCB5_K,ABCB5_L,ABCB5_M,ABCB5_N,ABCB5_O,ABCB5_P,ABCB5_Q,ABCB5_R,ABCB5_S,ABCB5_T
OG34_0	ABCB6,ABCB6_B,ABCB6_C,ABCB6_D,ABCB6_E,ABCB6_F,ABCB6_G,ABCB6_H,ABCB6_I,ABCB6_J,ABCB6_K,ABCB6_L,ABCB6_M,ABCB6_N,ABCB6_O,ABCB6_P,ABCB6_Q,ABCB6_R,ABCB6_S,ABCB6_T
OG35_0	ABCB7,ABCB7_B,ABCB7_C,ABCB7_D,ABCB7_E,ABCB7_F,ABCB7_G,ABCB7_H,ABCB7_I,ABCB7_J,ABCB7_K,ABCB7_L,ABCB7_M,ABCB7_N,ABCB7_O,ABCB7_P,ABCB7_Q,ABCB7_R,ABCB7_S,ABCB7_T
OG36_0	ABCB8,ABCB8_B,ABCB8_C,ABCB8_D,ABCB8_E,ABCB8_F,ABCB8_G,ABCB8_H,ABCB8_I,ABCB8_J,ABCB8_K,ABCB8_L,ABCB8_M,ABCB8_N,ABCB8_O,ABCB8_P,ABCB8_Q,ABCB8_R,ABCB8_S,ABCB8_T
OG37_0	ABCB9,ABCB9_B,ABCB9_C,ABCB9_D,ABCB9_E,ABCB9_F,ABCB9_G,ABCB9_H,ABCB9_I,ABCB9_J,ABCB9_K,ABCB9_L,ABCB9_M,ABCB9_N,ABCB9_O,ABCB9_P,ABCB9_Q,ABCB9_R,ABCB9_S,ABCB9_T
OG38_0	ABCC1,ABCC1_B,ABCC1_C,ABCC1_D,ABCC1_E,ABCC1_F,ABCC1_G,ABCC1_H,ABCC1_I,ABCC1_J,ABCC1_K,ABCC1_L,ABCC1_M,ABCC1_N,ABCC1_O,ABCC1_P,ABCC1_Q,ABCC1_R,ABCC1_S,ABCC1_T
OG39_0	ABCC10,ABCC10_B,ABCC10_C,ABCC10_D,ABCC10_E,ABCC10_F,ABCC10_G,ABCC10_H,ABCC10_I,ABCC10_J,ABCC10_K,ABCC10_L,ABCC10_M,ABCC10_N,ABCC10_O,ABCC10_P,ABCC10_Q,ABCC10_R,ABCC10_S,ABCC10_T
OG40_0	ABCC11,ABCC11_B,ABCC11_C,ABCC11_D,ABCC11_E,ABCC11_F,ABCC11_G,ABCC11_H,ABCC11_I,ABCC11_J,ABCC11_K,ABCC11_L,ABCC11_M,ABCC11_N,ABCC11_O,ABCC11_P,ABCC11_Q,ABCC11_R,ABCC11_S,ABCC11_T
OG41_0	ABCC2,ABCC2_B,ABCC2_C,ABCC2_D,ABCC2_E,ABCC2_F,ABCC2_G,ABCC2_H,ABCC2_I,ABCC2_J,ABCC2_K,ABCC2_L,ABCC2_M,ABCC2_N,ABCC2_O,ABCC2_P,ABCC2_Q,ABCC2_R,ABCC2_S,ABCC2_T
OG42_0	ABCC4,ABCC4_B,ABCC4_C,ABCC4_D,ABCC4_E,ABCC4_F,ABCC4_G,ABCC4_H,ABCC4_I,ABCC4_J,ABCC4_K,ABCC4_L,ABCC4_M,ABCC4_N,ABCC4_O,ABCC4_P,ABCC4_Q,ABCC4_R,ABCC4_S,ABCC4_T
OG43_0	ABCC5,ABCC5_B,ABCC5_C,ABCC5_D,ABCC5_E,ABCC5_F,ABCC5_G,ABCC5_H,ABCC5_I,ABCC5_J,ABCC5_K,ABCC5_L,ABCC5_M,ABCC5_N,ABCC5_O,ABCC5_P,ABCC5_Q,ABCC5_R,ABCC5_S,ABCC5_T
OG44_0	ABCC6,ABCC6_B,ABCC6_C,ABCC6_D,ABCC6_E,ABCC6_F,ABCC6_G,ABCC6_H,ABCC6_I,ABCC6_J,ABCC6_K,ABCC6_L,ABCC6_M,ABCC6_N,ABCC6_O,ABCC6_P,ABCC6_Q,ABCC6_R,ABCC6_S,ABCC6_T
OG45_0	ABCC8,ABCC8_B,ABCC8_C,ABCC8_D,ABCC8_E,ABCC8_F,ABCC8_G,ABCC8_H,ABCC8_I,ABCC8_J,ABCC8_K,ABCC8_L,ABCC8_M,ABCC8_N,ABCC8_O,ABCC8_P,ABCC8_Q,ABCC8_R,ABCC8_S,ABCC8_T
OG46_0	ABCC9,ABCC9_B,ABCC9_C,ABCC9_D,ABCC9_E,ABCC9_F,ABCC9_G,ABCC9_H,ABCC9_I,ABCC9_J,ABCC9_K,ABCC9_L,ABCC9_M,ABCC9_N,ABCC9_O,ABCC9_P,ABCC9_Q,ABCC9_R,ABCC9_S,ABCC9_T
OG47_0	ABCD1,ABCD1_B,ABCD1_C,ABCD1_D,ABCD1_E,ABCD1_F,ABCD1_G,ABCD1_H,ABCD1_I,ABCD1_J,ABCD1_K,ABCD1_L,ABCD1_M,ABCD1_N,ABCD1_O,ABCD1_P,ABCD1_Q,ABCD1_R,ABCD1_S,ABCD1_T
OG48_0	ABCD3,ABCD3_B,ABCD3_C,ABCD3_D,ABCD3_E,ABCD3_F,ABCD3_G,ABCD3_H,ABCD3_I,ABCD3_J,ABCD3_K,ABCD3_L,ABCD3_M,ABCD3_N,ABCD3_O,ABCD3_P,ABCD3_Q,ABCD3_R,ABCD3_S,ABCD3_T
OG49_0	ABCD4,ABCD4_B,ABCD4_C,ABCD4_D,ABCD4_E,ABCD4_F,ABCD4_G,ABCD4_H,ABCD4_I,ABCD4_J,ABCD4_K,ABCD4_L,ABCD4_M,ABCD4_N,ABCD4_O,ABCD4_P,ABCD4_Q,ABCD4_R,ABCD4_S,ABCD4_T
