Gene	Expression
A1CF_R	0
A2LD1_R	0
A4GALT_R	0.418561
ABCA10_R	0.80373
ABCA12_R	0.871769
ABCA13_R	0.439434
ABCA5_R	0.601331
ABCA7_R	0.648237
ABCA9_R	0.55297
ABCB1_R	0.499948
ABCB9_R	0
ABCC11_R	0
ABCC2_R	0.544304
ABCC6_R	0
ABCC8_R	0
ABCD1_R	0.997212
ABCG1_R	0
ABCG2_R	0.943331
ABLIM2_R	0.395597
ABLIM3_R	0
ABO_R	0
ABP1_R	0
ABTB1_R	0.984998
ABTB2_R	0.779116
ACADL_R	0
ACAN_R	0.997212
ACAP1_R	0
ACCS_R	0
ACE2_R	0.639047
ACHE_R	1.32498
ACMSD_R	0
ACOT11_R	0.732805
ACOT2_R	0
ACOT4_R	0
ACOX2_R	0
ACOXL_R	0
ACP5_R	0
ACPP_R	0
ACRC_R	0
ACR_R	0
ACSBG1_R	0
ACSL1_R	0
ACSL6_R	0.467016
ACSM2A_R	0
ACSM2B_R	0
ACTG2_R	0
ACTL10_R	0
ACTN3_R	0.682121
ACVR1C_R	0
ACVRL1_R	0
ACY3_R	0
ADAM12_R	1.07236
ADAM20_R	0
ADAM21_R	0.536892
ADAM28_R	0
ADAM33_R	0
ADAM8_R	0
ADAMTS10_R	0.372112
ADAMTS13_R	0.496256
ADAMTS14_R	0
ADAMTS17_R	1.20324
ADAMTS18_R	0.768723
ADAMTS5_R	1.00555
ADAMTS6_R	0.652148
ADAMTS8_R	0
ADAMTSL2_R	0.613218
ADAP1_R	0
ADAP2_R	0
ADARB2_R	0
ADAT3_R	0
ADCK5_R	1.14863
ADCY10_R	0
ADCY5_R	0.953454
ADCY8_R	0
ADCYAP1_R	0.901991
ADH4_R	0
ADH6_R	0
ADHFE1_R	0
ADIPOQ_R	0.372112
ADM2_R	0.703323
ADORA2A_R	0
ADPRH_R	1.02777
ADRA1A_R	0
ADRA1B_R	0
ADRA2A_R	0
ADRA2B_R	0.833107
ADRA2C_R	0
ADRB2_R	0
AFAP1L1_R	0.529424
AFP_R	0
AGAP11_R	0
AGAP2_R	0
AGAP4_R	0
AGAP7_R	0.708595
AGAP8_R	0
AGBL2_R	0
AGBL3_R	0
AGER_R	0
AGFG2_R	0.601331
AGMO_R	0
AGPAT9_R	0
AGT_R	0
AGXT2L1_R	0.529424
AGXT_R	0
AHNAK2_R	0.871769
AHRR_R	0
AHR_R	1.5859
AICDA_R	0
AIF1_R	0
AIFM2_R	0
AIFM3_R	0
AIM1L_R	0.372112
AIM1_R	0.38026
AIM2_R	0
AIPL1_R	0
AIRE_R	0.446728
AK8_R	0
AKR1B10_R	0
AKR1B15_R	0
AKR1C1_R	0.933777
AKR1C2_R	0
AKR1C3_R	0
AKR1D1_R	0
AKR1E2_R	0
AKR7A3_R	0
ALDH1A2_R	0
ALDH1A3_R	1.37624
ALDH1L1_R	0.407584
ALDH1L2_R	1.09899
ALDH8A1_R	0.90523
ALG1L2_R	0
ALK_R	0.682121
ALOX12B_R	0
ALOX12_R	0
ALOX15_R	0
ALOX5AP_R	0
ALOX5_R	0
ALPK1_R	0.563763
ALPK2_R	1.10396
ALS2CL_R	0.591882
ALX3_R	0
ALX4_R	0.55297
AMDHD1_R	0
AMH_R	0
AMIGO3_R	0.617717
AMN_R	0
AMY2B_R	0
ANGPT1_R	1.21468
ANGPT2_R	0.357833
ANGPT4_R	0
ANGPTL4_R	1.24006
ANG_R	0
ANK1_R	0.63441
ANKAR_R	0.413614
ANKDD1A_R	0.610321
ANKFN1_R	0
ANKMY1_R	0
ANKRD20A1_R	1.10396
ANKRD20A2_R	1.10396
ANKRD20A3_R	0
ANKRD20A4_R	0
ANKRD22_R	0
ANKRD24_R	0
ANKRD29_R	0
ANKRD2_R	0
ANKRD31_R	0.613218
ANKRD34B_R	0
ANKRD44_R	0.573895
ANKRD53_R	0
ANKRD65_R	0.698813
ANKS1B_R	1.17255
ANKS4B_R	0.45368
ANO1_R	0
ANO2_R	0
ANO7_R	0.471988
ANO9_R	0
ANP32D_R	0
ANPEP_R	0
ANXA8L1_R	0
ANXA9_R	0
AOAH_R	0
AOC2_R	0.914471
AOC3_R	0
AOX1_R	0.898913
AP1M2_R	0
AP3B2_R	0.919196
APBA1_R	0.984998
APC2_R	0.512824
APLN_R	0.586081
APOA1_R	0.9479
APOA2_R	0
APOBEC3A_R	0.467016
APOBEC3H_R	0
APOBR_R	0
APOB_R	0.708595
APOC3_R	0
APOC4_R	0
APOF_R	0
APOL4_R	1.00555
APOL6_R	0.749076
APOM_R	1.09477
AQP11_R	0
AQP1_R	0
AQP3_R	0.548621
AQP4_R	0.395597
AQP5_R	0
AQP6_R	0
AQP7_R	0
ARAP2_R	0.88219
ARC_R	0
ARHGAP15_R	0
ARHGAP20_R	0
ARHGAP22_R	0.799245
ARHGAP25_R	1.19766
ARHGAP27_R	0
ARHGAP31_R	0.446728
ARHGAP6_R	0.787116
ARHGAP8_R	0
ARHGDIB_R	0
ARHGDIG_R	0
ARHGEF15_R	0.529424
ARHGEF33_R	0
ARHGEF37_R	0
ARHGEF38_R	0
ARHGEF5_R	0.439434
ARID5A_R	0
ARL11_R	0
ARL17B_R	0
ARMC12_R	0.69546
ARNTL_R	0.914471
ARPC4-TTLL3_R	1.02777
ARPM1_R	1.19766
ARSF_R	0
ARTN_R	0
ASAH2_R	0
ASB11_R	0
ASB12_R	0
ASB16_R	0
ASB2_R	0
ASB4_R	0
ASB9_R	0
ASGR1_R	0
ASIC2_R	0.703323
ASIC3_R	0
ASIC4_R	0.86241
ASMT_R	0
ASPA_R	0
ASPG_R	0
ASPHD1_R	0
ASPRV1_R	0
ATG9B_R	0
ATP12A_R	0
ATP13A4_R	0
ATP1B4_R	0
ATP2A1_R	0.799245
ATP2A3_R	0
ATP2C2_R	0
ATP5L2_R	0
ATP6AP1L_R	0
ATP6V0A4_R	0
ATP6V0D2_R	0
ATP6V1C2_R	0.45368
ATP6V1E2_R	0.63441
ATP8A2_R	0
ATP8B1_R	0
ATP8B3_R	0
ATP8B4_R	0
ATXN1_R	0.467016
AURKC_R	0
B3GALT2_R	1.33177
B3GALT4_R	1.12847
B3GALT5_R	0
B3GAT2_R	0
B3GNT4_R	0
B3GNT6_R	0
B3GNT7_R	0
B3GNT8_R	0
B3GNT9_R	1.12847
B4GALNT1_R	0
B7H6_R	1.00555
B9D2_R	0
BAGE_R	0
BAI3_R	0.52419
BAIAP2L2_R	0
BAIAP3_R	0.693078
BARHL2_R	1.21199
BARX1_R	1.24006
BARX2_R	0
BATF2_R	1.51694
BCAR3_R	0.591882
BCAS1_R	0.764093
BCL11B_R	0.69546
BCL2L15_R	0.536892
BCL3_R	1.43448
BCL6B_R	1.24671
BDKRB2_R	0
BDNF_R	0
BEAN1_R	0.544304
BEGAIN_R	0
BEND2_R	0
BEND6_R	1.1231
BEST3_R	0
BEST4_R	0.418561
BEX5_R	0
BFSP2_R	0
BHLHA15_R	0
BHMT_R	1.08549
BIK_R	0
BIRC3_R	0.357833
BMP3_R	0.52419
BMP5_R	0.956822
BMP6_R	0.855962
BMP8A_R	0.865358
BMP8B_R	0.595795
BNC1_R	0.570193
BNC2_R	1.07546
BRDT_R	0
BRS3_R	0
BSN_R	0.81957
