Gene	Expression
A1BG_E	0.078703
A1CF_E	-0.080276
A2LD1_E	0.200145
A4GALT_E	-0.934408
AAAS_E	-0.114497
AACS_E	-0.197807
AADAT_E	-0.160053
AAED1_E	-0.043918
AAGAB_E	0.264221
AAK1_E	0.021644
AAMP_E	0.201447
AARS_E	0.125938
AARS2_E	0.056036
AARSD1_E	0.161143
AASDH_E	0.079483
AASDHPPT_E	-0.025444
AASS_E	-0.173983
AATF_E	0.290288
AATK_E	0.345677
ABAT_E	0.331348
ABCA1_E	0.013484
ABCA10_E	-0.507245
ABCA12_E	-0.029714
ABCA13_E	-0.185868
ABCA2_E	-0.494803
ABCA3_E	-0.213782
ABCA5_E	0.014685
ABCA7_E	-0.078933
ABCA9_E	-0.795262
ABCB1_E	0.281046
ABCB10_E	0.337378
ABCB4_E	0.257028
ABCB5_E	0.369295
ABCB6_E	-0.337627
ABCB7_E	0.006600
ABCB8_E	0.152891
ABCB9_E	0.427474
ABCC1_E	-0.243786
ABCC10_E	0.302225
ABCC11_E	-0.039784
ABCC2_E	1.994418
ABCC4_E	0.205503
ABCC5_E	0.106467
ABCC6_E	1.163772
ABCC8_E	-0.428605
ABCC9_E	-0.329005
ABCD1_E	0.501259
ABCD3_E	0.052307
ABCD4_E	0.275780
ABCE1_E	-0.158851
ABCF1_E	0.006134
ABCF2_E	0.222570
ABCF3_E	0.337403
ABCG1_E	-0.367752
ABCG2_E	0.286361
ABHD10_E	-0.130631
ABHD11_E	-0.670158
ABHD12_E	0.052564
ABHD13_E	0.061690
ABHD14A_E	-0.343869
ABHD14B_E	-0.115385
ABHD15_E	0.150710
ABHD16A_E	0.109499
ABHD2_E	0.040913
ABHD3_E	0.148708
ABHD4_E	-0.053340
ABHD5_E	-0.031908
ABHD6_E	0.386131
ABHD8_E	0.087112
ABI1_E	-0.063083
ABI2_E	-0.447796
ABL1_E	0.253401
ABL2_E	-0.177991
ABLIM1_E	0.316368
ABLIM2_E	-0.038214
ABLIM3_E	-0.105291
ABO_E	0.823650
ABP1_E	0.812521
ABR_E	-0.114874
ABRACL_E	0.208040
ABT1_E	-0.253343
ABTB1_E	0.051042
ABTB2_E	0.598633
ACAA1_E	0.862808
ACAA2_E	0.638367
ACACA_E	0.092375
ACACB_E	0.229239
ACAD10_E	-0.088800
ACAD11_E	-0.390410
ACAD8_E	0.191841
ACAD9_E	0.242075
ACADL_E	-0.121362
ACADM_E	0.240184
ACADS_E	-0.344442
ACADSB_E	0.043512
ACADVL_E	0.118404
ACAN_E	0.247457
ACAP1_E	0.680211
ACAP2_E	-0.266828
ACAP3_E	0.159405
ACAT1_E	0.283551
ACAT2_E	0.046091
ACBD3_E	-0.168465
ACBD4_E	-0.128209
ACBD5_E	-0.145249
ACBD6_E	-0.068081
ACBD7_E	0.218911
ACCS_E	-0.110763
ACD_E	-0.314497
ACE2_E	0.063252
ACER2_E	-0.209374
ACER3_E	0.272175
ACHE_E	-0.095910
ACIN1_E	0.067927
ACLY_E	0.004561
ACMSD_E	1.776386
ACN9_E	0.162026
ACO1_E	-0.081393
ACO2_E	0.256870
ACOT1_E	0.862964
ACOT11_E	0.276540
ACOT13_E	0.045764
ACOT2_E	0.032835
ACOT4_E	-0.335850
ACOT7_E	0.383201
ACOT8_E	0.026537
ACOT9_E	0.151225
ACOX1_E	-0.173946
ACOX2_E	0.581670
ACOX3_E	-0.212562
ACOXL_E	-0.195840
ACP1_E	0.076356
ACP2_E	0.341381
ACP5_E	1.372694
ACP6_E	-0.282695
ACPL2_E	-0.156630
ACPP_E	-0.242709
ACR_E	-0.170553
ACRBP_E	0.477832
ACRC_E	0.478580
ACSBG1_E	-0.106430
ACSF2_E	0.079803
ACSF3_E	0.031348
ACSL1_E	0.386960
ACSL3_E	0.087965
ACSL4_E	-0.507162
ACSL6_E	-0.235779
ACSM2A_E	0.752384
ACSM2B_E	0.063963
ACSM3_E	-0.118185
ACSS2_E	-0.284514
ACSS3_E	-0.055560
ACTA1_E	0.275808
ACTA2_E	-0.114537
ACTB_E	-0.126623
ACTC1_E	0.445121
ACTG1_E	-0.230876
ACTG2_E	-0.183607
ACTL10_E	-0.039360
ACTL6A_E	0.059497
ACTN1_E	0.169812
ACTN3_E	0.279363
ACTN4_E	0.021457
ACTR10_E	0.274175
ACTR1A_E	0.021997
ACTR1B_E	-0.073089
ACTR2_E	-0.088642
ACTR3_E	-0.137870
ACTR3B_E	0.187948
ACTR5_E	0.412247
ACTR6_E	-0.106250
ACTR8_E	0.325024
ACVR1_E	0.205473
ACVR1B_E	0.333543
ACVR1C_E	-0.061529
ACVR2A_E	-0.051824
ACVR2B_E	-0.352714
ACVRL1_E	-0.119095
ACY1_E	0.939295
ACY3_E	0.352955
ACYP1_E	0.181731
ACYP2_E	0.177100
ADA_E	-0.629740
ADAL_E	-0.228864
ADAM10_E	-0.052306
ADAM11_E	-0.085815
ADAM12_E	-0.422827
ADAM15_E	0.485798
ADAM17_E	-0.042319
ADAM19_E	0.002068
ADAM20_E	-0.062057
ADAM21_E	0.705771
ADAM22_E	-0.137226
ADAM23_E	-0.299382
ADAM28_E	-0.037605
