Gene	Expression
A1CF_O	0.510016
A2LD1_O	0.620576
A4GALT_O	0
AATK_O	0.881202
ABCA10_O	0
ABCA12_O	0
ABCA13_O	0.536892
ABCA7_O	1.51884
ABCA9_O	0.978155
ABCB1_O	0
ABCB4_O	0.912128
ABCB9_O	0
ABCC11_O	0
ABCC2_O	0
ABCC8_O	0.815558
ABCD1_O	1.21876
ABCG1_O	0.753193
ABCG2_O	0
ABHD15_O	0.848164
ABLIM2_O	0.581199
ABLIM3_O	1.3315
ABP1_O	0
ACADL_O	0
ACAN_O	0
ACAP1_O	0.505036
ACCS_O	0
ACE2_O	0
ACHE_O	1.16569
ACMSD_O	0
ACOT11_O	1.19981
ACOT1_O	0
ACOT4_O	0
ACOXL_O	0
ACP5_O	0
ACPP_O	0
ACRC_O	0
ACR_O	0
ACSBG1_O	0
ACSL1_O	0.858977
ACSL6_O	0
ACSM2A_O	1.15599
ACTG2_O	0
ACTL10_O	0
ACTN3_O	1.23725
ACVR1C_O	0
ACVRL1_O	0.445564
ACY3_O	0
ADAM12_O	0.406828
ADAM20_O	0
ADAM21_O	0
ADAM28_O	0
ADAM33_O	0
ADAM8_O	0
ADAMTS10_O	0.536892
ADAMTS13_O	0.920879
ADAMTS14_O	0
ADAMTS17_O	1.01215
ADAMTS18_O	0
ADAMTS4_O	1.11551
ADAMTS5_O	0.419325
ADAMTS6_O	0.401925
ADAMTS8_O	0
ADAMTSL1_O	0.936806
ADAMTSL2_O	0
ADAP1_O	0
ADAP2_O	0
ADARB2_O	0.589514
ADAT3_O	1.79848
ADCY10_O	0
ADCY5_O	0.727439
ADCY8_O	0
ADCYAP1_O	0
ADH4_O	1.35432
ADH6_O	0
ADHFE1_O	1.06063
ADIPOQ_O	0.771908
ADM2_O	0
ADORA2A_O	0
ADPRH_O	0.875658
ADRA1B_O	0
ADRA2A_O	0
ADRA2B_O	0.89859
ADRA2C_O	1.47301
ADRB2_O	0
AFAP1L1_O	0
AFP_O	0
AGAP11_O	0.55395
AGAP2_O	0
AGAP4_O	0
AGAP5_O	0
AGAP6_O	1.00182
AGAP7_O	0
AGAP8_O	0
AGBL2_O	0.753193
AGBL3_O	0
AGER_O	0
AGFG2_O	0
AGMO_O	0
AGPAT9_O	0
AGPHD1_O	0
AGT_O	0.498707
AGXT2L1_O	0
AGXT_O	0
AHNAK2_O	0.60566
AHRR_O	0
AHR_O	0.885363
AICDA_O	0
AIF1_O	0
AIFM2_O	0.639818
AIFM3_O	0
AIM1L_O	0
AIM1_O	0.601829
AIM2_O	0
AIPL1_O	1.54841
AIRE_O	0
AK8_O	1.00182
AKR1B10_O	0
AKR1B15_O	0
AKR1C1_O	0
AKR1C2_O	0
AKR1C3_O	0
AKR1D1_O	1.05202
AKR1E2_O	0
AKR7A3_O	0
ALDH1A2_O	0
ALDH1A3_O	0.44206
ALDH1L1_O	0.95225
ALDH1L2_O	0.737816
ALDH3B1_O	1.29485
ALG1L2_O	0
ALKBH6_O	0
ALK_O	0
ALOX12B_O	0
ALOX12_O	0
ALOX15_O	0
ALOX5AP_O	0
ALOX5_O	0
ALPK1_O	1.37624
ALPK2_O	0.643467
ALS2CL_O	0
ALX3_O	0
ALX4_O	0
AMDHD1_O	0
AMH_O	0
AMIGO3_O	1.03444
AMN_O	0
AMPD3_O	1.27215
ANGPT2_O	0
ANGPT4_O	1.0904
ANGPTL4_O	0
ANG_O	0
ANK1_O	0.432815
ANKAR_O	0
ANKDD1A_O	1.08665
ANKFN1_O	0
ANKHD1-EIF4EBP3_O	0
ANKMY1_O	0
ANKRD20A1_O	0.536892
ANKRD20A2_O	0.710642
ANKRD20A3_O	0
ANKRD20A4_O	0
ANKRD22_O	0
ANKRD23_O	0
ANKRD24_O	0.695892
ANKRD29_O	1.34905
ANKRD2_O	0
ANKRD31_O	0
ANKRD34B_O	0.436053
ANKRD35_O	0.584372
ANKRD39_O	0
ANKRD44_O	0
ANKRD53_O	0
ANKS4B_O	1.22804
ANO1_O	0
ANO2_O	0
ANO7_O	0
ANO9_O	0
ANP32D_O	0
ANPEP_O	0
ANXA3_O	0
ANXA8L1_O	0
ANXA9_O	0
AOAH_O	0
AOC2_O	1.11551
AOC3_O	0
AOX1_O	0.74342
AP1M2_O	0
AP3B2_O	0
APC2_O	0.44206
APLNR_O	0
APLN_O	0.456633
APOA1_O	0
APOA2_O	0
APOBEC3A_O	0
APOBEC3B_O	1.7278
APOBR_O	0
APOB_O	0.401925
APOC3_O	0
APOC4_O	0
APOF_O	0
APOL1_O	1.29852
APOL6_O	0.523921
AQP11_O	1.15902
AQP1_O	0
AQP3_O	0
AQP4_O	0
AQP5_O	0
AQP6_O	1.35432
AQP7_O	0
ARAP2_O	0
ARC_O	0
ARHGAP11B_O	0
ARHGAP15_O	0
ARHGAP20_O	0
ARHGAP22_O	1.43411
ARHGAP23_O	0.471988
ARHGAP25_O	0.727439
ARHGAP27_O	0.667829
ARHGAP29_O	0.98559
ARHGAP31_O	0.492893
ARHGDIB_O	0
ARHGDIG_O	0
ARHGEF19_O	0.593954
ARHGEF33_O	0
ARHGEF35_O	0
ARHGEF37_O	0.576996
ARHGEF38_O	0
ARHGEF3_O	1.04851
ARHGEF5_O	0.627092
ARID5A_O	0
ARL11_O	0
ARMC12_O	0
ARMCX5-GPRASP2_O	0.483548
ARPC4-TTLL3_O	0.700188
ARPM1_O	0.545293
ARRDC2_O	0.788668
ARSF_O	0
ARSG_O	0.471988
ARTN_O	0
ASAH2_O	0
ASB11_O	1.07236
ASB12_O	0
ASB16_O	0
ASB4_O	0.439288
ASB9_O	0
ASGR1_O	0
ASIC2_O	0.920879
ASIC3_O	0
ASMT_O	0
ASPA_O	0
ASPG_O	0.747517
ASPHD1_O	0
ASPRV1_O	0
ATG9B_O	0
ATOH8_O	0.788668
ATP12A_O	0.436053
ATP13A4_O	0
ATP1A3_O	0.89859
ATP1B4_O	1.22364
ATP2A1_O	0
ATP2A3_O	0.536892
ATP2C2_O	0
ATP5J2-PTCD1_O	0
ATP5L2_O	0.960806
ATP6AP1L_O	0
ATP6V0A4_O	0
ATP6V0D2_O	0.647222
ATP6V1C2_O	0
ATP8A2_O	0
ATP8B1_O	0.419325
ATP8B3_O	1.03039
ATP8B4_O	0.858977
ATXN1_O	1.41668
AURKC_O	1.26899
AVPI1_O	0
B3GALT2_O	0
B3GALT4_O	0.972706
B3GALT5_O	0
B3GAT2_O	0.55395
B3GNT4_O	0
B3GNT6_O	0
B3GNT7_O	0.667829
B3GNT8_O	0
B3GNT9_O	0.78468
B4GALNT1_O	0
B7H6_O	0.530093
B9D2_O	0
BAGE_O	1.61065
BAI3_O	0.409871
BAIAP2L2_O	0
BAIAP3_O	0.866432
BARHL2_O	0
BARX1_O	0.875658
BARX2_O	0
BATF2_O	0
BCAR3_O	0
BCAS1_O	0
BCL11B_O	1.21592
BCL2L15_O	0.90385
BCL3_O	0
BCL6B_O	0
BCO2_O	1.54563
BDKRB2_O	0
BDNF_O	0
BEAN1_O	0
BEGAIN_O	0
BEND2_O	0
BEND6_O	0.476512
BEST3_O	0
BEST4_O	0
BEX5_O	0
BFSP2_O	0
BGN_O	0
BHLHA15_O	0
BHLHE41_O	0.558836
BIK_O	0
BIRC3_O	0
BMP2_O	0.68637
BMP3_O	0
BMP5_O	1.27866
BMP6_O	0
BMP8A_O	0.419325
BMP8B_O	0.655046
BNC1_O	0.423484
BNC2_O	0.616491
BNIPL_O	1.17452
BRDT_O	0.576996
BRS3_O	0
BSN_O	0.55395
BSPRY_O	0
BST1_O	0
BTBD17_O	0
BTBD19_O	0
BTN3A3_O	0.517018
BTNL9_O	0
C10orf105_O	0.597212
C10orf10_O	0
C10orf111_O	0
C10orf11_O	0
C10orf35_O	0
C10orf47_O	0.675084
C10orf54_O	0
C10orf67_O	0.463734
C10orf82_O	0
C11orf20_O	0
C11orf35_O	0
C11orf45_O	0
C11orf52_O	0
C11orf71_O	0
C11orf86_O	0
C11orf91_O	0
C11orf93_O	0
C11orf96_O	0
C12orf39_O	0
C12orf77_O	0
C13orf33_O	0
C14orf176_O	0
C14orf182_O	0
C14orf39_O	0.627092
C14orf45_O	1.09869
C15orf27_O	0
C15orf2_O	0.391735
C15orf38-AP3S2_O	0
C15orf52_O	0
C15orf56_O	0
C15orf58_O	0
C16orf54_O	0.928404
C16orf71_O	0
C16orf73_O	0
C16orf74_O	1.37974
C16orf86_O	0
C16orf89_O	1.09549
C16orf91_O	0
C16orf92_O	0
C16orf93_O	0
C16orf95_O	0
C16orf96_O	0.660988
C17orf104_O	1.10073
C17orf107_O	0
C17orf109_O	0
C17orf28_O	0.975622
C17orf50_O	0
C17orf57_O	0.558836
C17orf59_O	0
C17orf72_O	0.717429
C17orf77_O	1.03843
C17orf97_O	0
C17orf98_O	0
C18orf1_O	0
C18orf26_O	0.545293
C18orf34_O	0
C19orf35_O	0
C19orf40_O	0.695892
C19orf45_O	0.815558
C19orf46_O	0
C19orf57_O	0
C19orf73_O	0
C19orf75_O	1.12756
C19orf76_O	0.866432
C19orf77_O	0.760965
C1QL1_O	0
C1QL3_O	0
C1QTNF1_O	0
C1QTNF2_O	1.32498
C1QTNF4_O	0
C1QTNF9B-AS1_O	0
C1S_O	0
C1orf101_O	0.60566
C1orf116_O	0.838658
C1orf141_O	1.11551
C1orf150_O	0
C1orf151-NBL1_O	0
C1orf172_O	0
C1orf173_O	0.60566
C1orf186_O	0
C1orf192_O	0
C1orf194_O	0
C1orf210_O	0
C1orf228_O	0
C1orf229_O	1.00988
C1orf233_O	0.717429
C1orf38_O	0
C1orf49_O	0
C1orf53_O	0
C1orf54_O	0
C1orf87_O	1.27866
C1orf95_O	0
C20orf118_O	0
C20orf160_O	0.492893
C20orf195_O	1.43789
C20orf196_O	0
C20orf202_O	0
C20orf203_O	1.25782
C20orf26_O	0
C21orf7_O	0
C22orf15_O	0
C22orf23_O	0
C22orf24_O	0
C22orf25_O	0.627092
C2CD2L_O	0
C2CD4A_O	0
C2CD4B_O	0
C2CD4C_O	0
C2_O	0
C2orf27A_O	0
C2orf40_O	0
C2orf54_O	0
C2orf62_O	0
C2orf65_O	1.53704
C2orf66_O	0
C2orf76_O	0.737816
C2orf80_O	0
C2orf83_O	0.920879
C2orf84_O	0
C2orf88_O	0
C2orf89_O	0.995774
C2orf91_O	1.01215
C3_O	0
C3orf24_O	0
C3orf25_O	0
C3orf27_O	0
C3orf32_O	1.1912
C3orf35_O	0
C3orf52_O	1.05202
C3orf80_O	0
C4A_O	0.414384
C4orf19_O	0
C4orf26_O	0.568506
C4orf32_O	0
C4orf36_O	0
C4orf48_O	1.66668
C5AR1_O	0.517018
C5orf49_O	0.672419
C5orf58_O	0
C5orf60_O	0
C5orf63_O	0
C5orf65_O	0.700188
C6orf132_O	0.74342
C6orf141_O	0
C6orf163_O	0
C6orf221_O	0
C6orf226_O	0
C6orf25_O	0.76809
C6orf52_O	0
C6orf7_O	0
C6orf99_O	0
C7orf29_O	0
C7orf53_O	0
C7orf57_O	0
C8A_O	0
C8orf44-SGK3_O	0
C8orf45_O	0.505036
C8orf46_O	1.10744
C8orf47_O	0
C8orf80_O	1.27215
C8orf84_O	0.747517
