Gene	Expression
A1CF_J	0.373011
A2LD1_J	1.04851
A4GALT_J	1.53608
ABCA10_J	1.18474
ABCA12_J	0.172616
ABCA13_J	0.398318
ABCA9_J	1.04239
ABCB1_J	0
ABCB4_J	0.318288
ABCB9_J	1.08335
ABCC11_J	0
ABCC2_J	0.3134
ABCC8_J	0.556156
ABCD1_J	0.634048
ABCG1_J	0.561403
ABCG2_J	0.262539
ABLIM2_J	0.240626
ABLIM3_J	0
ABP1_J	0
ACADL_J	0.394679
ACAN_J	0.819174
ACAP1_J	0
ACCS_J	0.624067
ACE2_J	0
ACHE_J	0
ACMSD_J	0
ACOT11_J	1.141
ACOT1_J	0
ACOT4_J	0
ACOXL_J	0
ACP5_J	1.18099
ACPP_J	0
ACRBP_J	0
ACRC_J	0.328954
ACR_J	0
ACSBG1_J	0
ACSL1_J	0.432004
ACSL6_J	0.29538
ACSM2A_J	0.390198
ACTG2_J	1.11975
ACTL10_J	0
ACVR1C_J	0
ACVRL1_J	0.184914
ACY3_J	0
ADAM12_J	0.155209
ADAM20_J	0
ADAM21_J	0
ADAM28_J	0
ADAM33_J	0
ADAM8_J	0
ADAMTS10_J	0.701672
ADAMTS13_J	0.432004
ADAMTS14_J	0.234999
ADAMTS17_J	0.348093
ADAMTS18_J	0.848577
ADAMTS20_J	0.778182
ADAMTS2_J	0.965427
ADAMTS4_J	0.318288
ADAMTS5_J	0.493855
ADAMTS6_J	0.591379
ADAMTS8_J	0.634048
ADAMTSL1_J	0.172616
ADAMTSL2_J	0.758999
ADAP1_J	0.905689
ADAP2_J	0
ADARB2_J	0
ADAT3_J	0.831723
ADCY10_J	0.16238
ADCY5_J	0.84044
ADCY8_J	0.30488
ADCYAP1R1_J	0.556156
ADCYAP1_J	0.390198
ADH4_J	1.61216
ADH6_J	0
ADIPOQ_J	0
ADM2_J	0.29538
ADORA2A_J	0.69546
ADPRHL1_J	1.13557
ADPRH_J	0.550196
ADRA1A_J	0.476088
ADRA1B_J	0
ADRA2A_J	0
ADRA2C_J	0.793095
ADRB2_J	0
AFAP1L1_J	0
AFP_J	0
AGAP11_J	0
AGAP2_J	0
AGAP4_J	0
AGAP5_J	1.06086
AGAP6_J	0
AGAP7_J	1.02777
AGBL2_J	0
AGBL3_J	0
AGER_J	0
AGFG2_J	1.33769
AGMO_J	0.540317
AGPAT9_J	0
AGPHD1_J	0.73096
AGT_J	0
AGXT2L1_J	0.74369
AHNAK2_J	0.21015
AHRR_J	0
AHR_J	0.770962
AICDA_J	0.199721
AIF1_J	0
AIFM2_J	1.25656
AIFM3_J	0.365747
AIM1L_J	0
AIM1_J	0.985845
AIPL1_J	0.424027
AIRE_J	0
AK5_J	0
AK8_J	1.10597
AKR1B10_J	0
AKR1B15_J	1.53824
AKR1C1_J	1.84946
AKR1C2_J	0
AKR1C3_J	0
AKR1D1_J	0
AKR1E2_J	0.824862
AKR7A3_J	0.439288
ALDH1A2_J	0
ALDH1A3_J	0.179477
ALDH1L2_J	0.266295
ALDH3B1_J	0.990808
ALK_J	0
ALOX12B_J	0
ALOX12_J	0
ALOX15_J	0
ALOX5AP_J	0
ALOX5_J	1.26576
ALPK1_J	0.855189
ALPK2_J	0.521226
ALS2CL_J	0.318288
ALX3_J	0
ALX4_J	0
AMH_J	1.32205
AMN_J	0.60566
AMPD3_J	1.02385
ANGPT2_J	0.453825
ANGPT4_J	0
ANGPTL4_J	0
ANG_J	0
ANK1_J	0.152526
ANKAR_J	0.707588
ANKDD1A_J	0
ANKFN1_J	0
ANKH_J	1.60214
ANKMY1_J	0.975194
ANKRD20A1_J	0.342299
ANKRD20A2_J	0.624067
ANKRD20A3_J	0
ANKRD20A4_J	0
ANKRD22_J	0
ANKRD23_J	1.17466
ANKRD24_J	0
ANKRD29_J	1.37251
ANKRD2_J	0
ANKRD31_J	0
ANKRD34B_J	0
ANKRD44_J	0.68381
ANKRD53_J	0
ANKRD65_J	1.30962
ANKS4B_J	0.649781
ANO1_J	0
ANO2_J	0.20498
ANO7_J	0.527797
ANO9_J	0.550196
ANP32D_J	0
ANPEP_J	0.639818
ANXA8L1_J	0
ANXA9_J	1.09147
AOAH_J	0
AOC2_J	1.06086
AOC3_J	0
AOX1_J	0.858737
AP1M2_J	0
AP3B2_J	0
APBB3_J	1.55834
APC2_J	0.644363
APLNR_J	0.411507
APLN_J	0.323236
APOA1_J	0
APOA2_J	0
APOBEC3A_J	0
APOBR_J	0
APOB_J	0.30488
APOC3_J	0
APOC4_J	1.09801
APOF_J	0
APOL1_J	0.546017
APOL2_J	0.778182
APOL4_J	0.665262
APOL6_J	0.617717
AQP11_J	0
AQP1_J	0
AQP3_J	0.432004
AQP4_J	0.169107
AQP5_J	0
AQP6_J	0.348093
AQP7_J	0
ARAP3_J	1.07174
ARC_J	0
