Gene	Expression
A1CF_E	0.342622
A2LD1_E	1.16912
A4GALT_E	0
ABCA10_E	0.414384
ABCA12_E	0.263063
ABCA13_E	0.125197
ABCA9_E	0.347451
ABCB1_E	0.554407
ABCB9_E	0.877172
ABCC11_E	0
ABCC8_E	0
ABCG1_E	0
ABCG2_E	0.707588
ABHD15_E	1.21176
ABLIM2_E	0.289102
ABLIM3_E	0
ABP1_E	1.43813
ABTB1_E	1.28672
ACADL_E	0
ACAN_E	0.818076
ACAP1_E	0.877172
ACCS_E	0.632188
ACE2_E	0.301114
ACHE_E	0.143271
ACOT11_E	0.921821
ACOT4_E	0
ACOXL_E	0
ACPP_E	0
ACRBP_E	1.33204
ACRC_E	0.736971
ACR_E	0
ACSBG1_E	0
ACSL1_E	0.866229
ACSL6_E	0
ACSM2A_E	1.08176
ACSM2B_E	0.947305
ACTG2_E	0.310988
ACTL10_E	0
ACVR1C_E	0
ACVRL1_E	0
ACY3_E	0.585385
ADAM12_E	0
ADAM20_E	0
ADAM21_E	0.825061
ADAM28_E	0
ADAM33_E	0
ADAM8_E	0
ADAMTS10_E	0.342622
ADAMTS13_E	0.468867
ADAMTS14_E	0
ADAMTS17_E	0.866229
ADAMTS20_E	0.799858
ADAMTS2_E	0.733678
ADAMTS4_E	1.08176
ADAMTS5_E	0
ADAMTS6_E	0.190245
ADAMTS8_E	0
ADAMTSL1_E	0
ADAMTSL2_E	0.130629
ADAP1_E	0.321817
ADAP2_E	0.113734
ADARB2_E	0.113734
ADAT3_E	0.962784
ADCK5_E	1.6102
ADCY10_E	0.125197
ADCY5_E	0.657433
ADCY7_E	0.998301
ADCY8_E	1.11212
ADCYAP1R1_E	0.231653
ADCYAP1_E	0
ADH4_E	0.591567
ADH6_E	0
ADIPOQ_E	0.315375
ADM2_E	0.793509
ADORA2A_E	0.274009
ADPRHL1_E	1.66668
ADRA1A_E	0.160301
ADRA1B_E	0
ADRA2A_E	1.34645
ADRA2C_E	0.578382
ADRB2_E	0
AFAP1L1_E	0.062979
AGAP11_E	0.701672
AGAP2_E	0
AGAP4_E	0
AGAP5_E	0
AGAP7_E	1.69821
AGBL2_E	0
AGBL3_E	0.43311
AGER_E	0.274009
AGFG2_E	0.295464
AGMO_E	0
AGPAT9_E	1.24271
AGT_E	1.56601
AGXT2L1_E	1.20842
AHNAK2_E	0.516069
AHRR_E	0.107529
AICDA_E	0.113734
AIF1_E	0
AIFM2_E	0.866229
AIFM3_E	1.05003
AIM1L_E	1.0635
AIM1_E	1.35491
AIM2_E	0
AIPL1_E	0
AIRE_E	0
AK5_E	0.099845
AK7_E	0.711367
AK8_E	0.149595
AKR1B10_E	1.25588
AKR1C1_E	0
AKR1C2_E	1.00291
AKR1C3_E	0
AKR1D1_E	0.564539
AKR1E2_E	0
AKR7A3_E	0.283037
ALDH1A2_E	0
ALDH1A3_E	0
ALDH1L2_E	0.788664
ALDH3B1_E	0.136198
ALG1L2_E	0
ALK_E	0
ALOX12B_E	0
ALOX12_E	0
ALOX15_E	0
ALOX5AP_E	0
ALOX5_E	0.892671
ALPK1_E	0.274009
ALPK2_E	0.613218
ALS2CL_E	0
ALX1_E	0.578382
ALX3_E	0.50531
ALX4_E	0
AMH_E	1.09421
AMIGO3_E	0.860201
ANGPT2_E	0.605081
ANGPT4_E	0
ANGPTL4_E	0
ANG_E	0.550602
ANK1_E	0.414384
ANKAR_E	0.143271
ANKDD1A_E	0.578382
ANKFN1_E	0
ANKH_E	0.38418
ANKMY1_E	0.130629
ANKRD20A1_E	0.097168
ANKRD20A2_E	0.199721
ANKRD20A3_E	0
ANKRD20A4_E	0
ANKRD22_E	0
ANKRD23_E	1.09842
