Gene	Expression
A1BG_J	0.552447
A1CF_J	-0.049887
A2LD1_J	0.079543
A4GALT_J	0.601676
AAAS_J	0.212059
AACS_J	0.192512
AADAT_J	0.001205
AAED1_J	0.172577
AAGAB_J	0.247869
AAK1_J	-0.251534
AAMP_J	-0.208165
AARS_J	-0.097889
AARS2_J	0.372613
AARSD1_J	0.014003
AASDH_J	0.076828
AASDHPPT_J	-0.038669
AASS_J	0.076391
AATF_J	-0.129566
AATK_J	0.007139
ABAT_J	-0.061896
ABCA1_J	-0.207227
ABCA10_J	0.263106
ABCA12_J	-0.120161
ABCA13_J	0.087253
ABCA2_J	-0.191817
ABCA3_J	0.122088
ABCA5_J	-0.437679
ABCA7_J	0.402881
ABCA9_J	-0.100324
ABCB1_J	-0.273361
ABCB10_J	-0.123996
ABCB4_J	-0.902873
ABCB5_J	-0.966742
ABCB6_J	-0.351737
ABCB7_J	0.028504
ABCB8_J	-0.004543
ABCB9_J	0.633647
ABCC1_J	-0.241808
ABCC10_J	-0.332059
ABCC11_J	-0.039784
ABCC2_J	-1.077927
ABCC4_J	0.016990
ABCC5_J	-0.032610
ABCC6_J	0.127568
ABCC8_J	0.127552
ABCC9_J	-0.162333
ABCD1_J	-0.204586
ABCD3_J	-0.113031
ABCD4_J	0.110842
ABCE1_J	-0.125454
ABCF1_J	-0.101719
ABCF2_J	-0.261282
ABCF3_J	0.257677
ABCG1_J	0.193651
ABCG2_J	-0.158688
ABHD10_J	-0.067166
ABHD11_J	0.149932
ABHD12_J	-0.051768
ABHD13_J	-0.186334
ABHD14A_J	0.841076
ABHD14B_J	-0.322048
ABHD15_J	0.022298
ABHD16A_J	0.291663
ABHD2_J	0.044813
ABHD3_J	-0.252266
ABHD4_J	0.005560
ABHD5_J	-0.251706
ABHD6_J	-0.249191
ABHD8_J	-0.006553
ABI1_J	0.002868
ABI2_J	0.049478
ABL1_J	-0.107600
ABL2_J	-0.000541
ABLIM1_J	-0.207903
ABLIM2_J	-0.086689
ABLIM3_J	-0.105291
ABO_J	0.190668
ABP1_J	-0.625612
ABR_J	0.087616
ABRACL_J	-0.163392
ABT1_J	0.122740
ABTB1_J	0.042214
ABTB2_J	0.100191
ACAA1_J	-0.018140
ACAA2_J	0.116574
ACACA_J	-0.143802
ACACB_J	0.096526
ACAD10_J	0.179314
ACAD11_J	-0.020100
ACAD8_J	0.160908
ACAD9_J	0.097433
ACADL_J	0.273317
ACADM_J	0.260033
ACADS_J	0.201742
ACADSB_J	-0.042799
ACADVL_J	0.106312
ACAN_J	0.248555
ACAP1_J	-0.196960
ACAP2_J	-0.034608
ACAP3_J	-0.268838
ACAT1_J	0.127151
ACAT2_J	0.031458
ACBD3_J	-0.056036
ACBD4_J	0.093425
ACBD5_J	-0.078204
ACBD6_J	0.014844
ACBD7_J	-0.328279
ACCS_J	-0.118884
ACD_J	-0.011737
ACE2_J	-0.237862
ACER2_J	0.225482
ACER3_J	-0.151760
ACHE_J	-0.239180
ACIN1_J	-0.026177
ACLY_J	0.146855
ACMSD_J	-1.103761
ACN9_J	-0.150927
ACO1_J	0.039377
ACO2_J	-0.025686
ACOT1_J	-0.901408
ACOT11_J	0.495716
ACOT13_J	-0.198365
ACOT2_J	0.516627
ACOT4_J	-0.335850
ACOT7_J	0.126993
ACOT8_J	0.436690
ACOT9_J	0.073804
ACOX1_J	0.163298
ACOX2_J	0.383798
ACOX3_J	-0.029332
ACOXL_J	-0.195840
ACP1_J	0.039498
ACP2_J	-0.242771
ACP5_J	0.311549
ACP6_J	0.210182
ACPL2_J	0.363052
ACPP_J	-0.242709
ACR_J	-0.170553
ACRBP_J	-0.854209
ACRC_J	0.070563
ACSBG1_J	-0.106430
ACSF2_J	0.510984
ACSF3_J	-0.049154
ACSL1_J	-0.047266
ACSL3_J	-0.031260
ACSL4_J	0.582348
ACSL6_J	0.059601
ACSM2A_J	0.060821
ACSM2B_J	0.783077
ACSM3_J	-0.123129
ACSS2_J	0.307117
ACSS3_J	-0.048197
ACTA1_J	-0.191954
ACTA2_J	-0.505940
ACTB_J	-0.082452
ACTC1_J	-0.329326
ACTG1_J	0.026308
ACTG2_J	0.625156
ACTL10_J	-0.039360
ACTL6A_J	0.291935
ACTN1_J	-0.219949
ACTN3_J	-0.175942
ACTN4_J	-0.066865
ACTR10_J	-0.259234
ACTR1A_J	0.147080
ACTR1B_J	0.200955
ACTR2_J	-0.021857
ACTR3_J	-0.021946
ACTR3B_J	0.116986
ACTR5_J	0.272317
ACTR6_J	-0.122068
ACTR8_J	-0.006429
ACVR1_J	0.323839
ACVR1B_J	0.098600
ACVR1C_J	-0.061529
ACVR2A_J	0.045083
ACVR2B_J	-0.090685
ACVRL1_J	0.065819
ACY1_J	-0.357749
ACY3_J	-0.232430
ACYP1_J	0.124440
ACYP2_J	0.139901
ADA_J	-0.341727
ADAL_J	0.013847
ADAM10_J	-0.046985
ADAM11_J	-0.031573
ADAM12_J	-0.267618
ADAM15_J	-0.188314
ADAM17_J	0.002995
ADAM19_J	-0.029580
ADAM20_J	-0.062057
ADAM21_J	-0.119290
ADAM22_J	0.492069
ADAM23_J	0.332784
ADAM28_J	-0.037605
ADAM33_J	-0.106422
ADAM8_J	-0.211489
ADAM9_J	-0.083483
ADAMTS1_J	0.246520
ADAMTS10_J	-0.000853
ADAMTS12_J	0.291842
ADAMTS13_J	-0.083989
ADAMTS14_J	0.008913
ADAMTS15_J	-0.119737
ADAMTS16_J	-0.221262
ADAMTS17_J	-0.127405
ADAMTS18_J	-0.071891
ADAMTS19_J	-0.720587
ADAMTS2_J	-0.176279
ADAMTS20_J	-0.525589
ADAMTS3_J	0.262163
ADAMTS4_J	-0.636124
ADAMTS5_J	-0.002879
ADAMTS6_J	-0.105815
ADAMTS7_J	0.052887
ADAMTS8_J	0.486992
ADAMTS9_J	0.258673
ADAMTSL1_J	-0.306084
ADAMTSL2_J	0.323476
ADAMTSL4_J	-0.106812
ADAP1_J	0.378266
ADAP2_J	-0.225256
ADAR_J	0.000894
ADARB1_J	-0.267482
ADARB2_J	-0.304797
ADAT1_J	0.054467
ADAT2_J	-0.925932
ADAT3_J	0.441700
ADC_J	0.816658
ADCK1_J	-0.736711
ADCK2_J	0.070966
ADCK3_J	-0.047300
ADCK4_J	-0.062169
ADCK5_J	-0.346135
ADCY1_J	-0.119312
ADCY10_J	0.079653
ADCY2_J	-0.137506
ADCY3_J	0.136182
ADCY5_J	0.205124
ADCY6_J	0.032345
ADCY7_J	-0.213258
ADCY8_J	-0.236490
ADCY9_J	-0.058481
ADCYAP1_J	0.202917
ADCYAP1R1_J	-0.183452
ADD1_J	0.123037
ADD2_J	0.011974
ADD3_J	0.286862
ADH4_J	0.855487
ADH5_J	-0.197482
ADH6_J	-0.037335
ADHFE1_J	0.496208
ADI1_J	-0.195629
ADIPOQ_J	-0.380269
ADIPOR1_J	0.082662
ADIPOR2_J	0.079496
ADK_J	-0.235010
ADM_J	-0.042539
ADM2_J	-0.478185
ADNP_J	-0.031235
ADNP2_J	0.049351
ADO_J	0.047550
ADORA1_J	-0.344971
ADORA2A_J	0.233386
ADORA2B_J	0.567998
ADPGK_J	0.043986
ADPRH_J	-0.517165
ADPRHL1_J	0.401457
ADPRHL2_J	0.110894
ADRA1A_J	-0.176770
ADRA1B_J	-0.464322
ADRA2A_J	-0.289233
ADRA2B_J	0.796668
ADRA2C_J	0.291681
ADRB2_J	-0.097100
ADRBK1_J	0.120564
ADRBK2_J	0.092035
ADRM1_J	0.145270
ADSL_J	-0.264839
ADSS_J	0.049953
ADSSL1_J	-0.003425
AEBP1_J	-0.202797
AEBP2_J	0.039684
AEN_J	0.021733
AES_J	0.468253
AFAP1_J	-0.061261
AFAP1L1_J	-0.301076
AFAP1L2_J	0.292268
AFF1_J	-0.131215
AFF2_J	0.108726
AFF3_J	-0.386468
AFF4_J	-0.205587
AFG3L2_J	-0.042152
AFMID_J	-0.261642
AFP_J	-0.472095
AFTPH_J	0.015311
AGA_J	-0.012226
AGAP1_J	-0.023700
AGAP11_J	-0.266977
AGAP2_J	-0.119842
AGAP3_J	0.126517
AGAP4_J	-0.202344
AGAP5_J	0.287200
AGAP6_J	-1.158758
AGAP7_J	0.300484
AGAP8_J	0.774002
AGAP9_J	0.569935
AGBL2_J	-0.266447
AGBL3_J	-0.232372
AGBL5_J	0.278635
AGER_J	-0.628571
AGFG1_J	0.034259
AGFG2_J	0.696318
AGGF1_J	0.224542
AGK_J	0.134659
AGL_J	-0.012588
AGMAT_J	-0.308464
AGMO_J	0.421253
AGPAT1_J	-0.028065
AGPAT2_J	-0.499083
AGPAT3_J	0.110206
AGPAT4_J	0.085802
AGPAT5_J	-0.151193
AGPAT6_J	-0.314377
AGPAT9_J	-0.092435
AGPHD1_J	-0.172791
AGPS_J	-0.242980
AGRN_J	0.027843
AGT_J	-0.779089
AGTPBP1_J	0.026895
AGTRAP_J	-0.202442
AGXT_J	-0.712690
AGXT2L1_J	0.321394
AGXT2L2_J	0.490369
AHCTF1_J	0.024198
AHCY_J	-0.052520
AHCYL1_J	-0.069661
AHCYL2_J	-0.198214
AHDC1_J	-0.264751
AHI1_J	0.203122
AHNAK_J	-0.214342
AHNAK2_J	-0.220753
AHR_J	-0.558687
AHRR_J	-0.256306
AHSA1_J	-0.316106
AHSA2_J	-0.054594
AICDA_J	-0.085951
AIDA_J	-0.123265
AIF1_J	-0.000108
AIF1L_J	-0.036361
AIFM1_J	0.056845
AIFM2_J	0.355158
AIFM3_J	-0.142220
AIG1_J	-0.144780
AIM1_J	0.258326
AIM1L_J	-0.729062
AIM2_J	0.964748
AIMP1_J	0.137887
AIMP2_J	-0.040849
AIP_J	-0.040036
AIPL1_J	-0.076165
AIRE_J	-0.298939
AJAP1_J	0.792832
AJUBA_J	0.048807
AK1_J	0.069111
AK2_J	-0.230525
AK3_J	-0.084696
AK4_J	0.070006
AK5_J	-0.986205
AK7_J	0.350207
AK8_J	0.777426
AKAP1_J	0.227577
AKAP10_J	0.158758
AKAP11_J	0.111642
AKAP12_J	-0.163327
AKAP13_J	-0.183405
AKAP17A_J	0.074429
AKAP2_J	-0.665877
AKAP5_J	0.057699
AKAP6_J	0.223211
AKAP7_J	-0.034226
AKAP8_J	-0.202803
AKAP8L_J	0.191897
AKAP9_J	-0.074787
AKD1_J	0.009977
AKIP1_J	0.076023
AKIRIN1_J	-0.112069
AKIRIN2_J	0.187877
AKNA_J	-0.009879
AKR1A1_J	-0.147546
AKR1B1_J	-0.006354
AKR1B10_J	-0.584283
AKR1B15_J	0.682043
AKR1C1_J	1.317168
AKR1C2_J	-0.137879
AKR1C3_J	-0.087756
AKR1D1_J	-0.224618
AKR1E2_J	0.489683
AKR7A2_J	0.108250
AKR7A3_J	0.230744
AKT1_J	0.100563
AKT1S1_J	-0.201016
AKT2_J	0.091662
AKT3_J	0.283374
AKTIP_J	0.152357
ALAD_J	0.261221
ALAS1_J	0.095509
ALCAM_J	-0.183752
ALDH16A1_J	0.257209
ALDH18A1_J	-0.001496
ALDH1A1_J	1.575965
ALDH1A2_J	-0.005778
ALDH1A3_J	-0.446985
ALDH1B1_J	0.086851
ALDH1L1_J	0.233683
ALDH1L2_J	-0.555638
ALDH2_J	-0.321942
ALDH3A2_J	0.021757
ALDH3B1_J	0.036882
ALDH4A1_J	0.311729
ALDH5A1_J	-0.245408
ALDH6A1_J	0.192077
ALDH7A1_J	-0.092037
ALDH8A1_J	0.102374
ALDH9A1_J	0.015984
ALDOA_J	0.071713
ALDOC_J	0.183681
ALG1_J	-0.113656
ALG10_J	-0.028293
ALG10B_J	-0.074135
ALG11_J	0.245267
ALG12_J	0.164365
ALG13_J	0.099512
ALG14_J	-0.124293
ALG1L_J	0.691088
ALG1L2_J	1.608659
ALG2_J	-0.529771
ALG3_J	-0.594601
ALG5_J	-0.243634
ALG6_J	0.107271
ALG8_J	-0.077381
ALG9_J	0.230408
ALK_J	-0.142494
ALKBH1_J	0.140237
ALKBH2_J	-0.233340
ALKBH3_J	0.275457
ALKBH4_J	0.395636
ALKBH5_J	0.078954
ALKBH6_J	-0.599505
ALKBH7_J	0.082934
ALKBH8_J	-0.211666
ALMS1_J	-0.067239
ALOX12_J	-0.078671
ALOX12B_J	-0.066837
ALOX15_J	-0.223786
ALOX5_J	0.739844
ALOX5AP_J	-0.090230
ALPK1_J	-0.092520
ALPK2_J	-0.124982
ALPK3_J	-0.327022
ALPL_J	-0.001231
ALS2_J	0.062979
ALS2CL_J	-0.106039
ALS2CR8_J	0.076224
ALX1_J	-0.122021
ALX3_J	-0.091403
ALX4_J	-0.156936
ALYREF_J	0.005489
AMACR_J	-0.456013
AMBP_J	0.074657
AMBRA1_J	-0.350203
AMD1_J	-0.197541
AMDHD1_J	0.135592
AMDHD2_J	-0.231069
AMFR_J	0.232802
AMH_J	0.707399
AMIGO1_J	-0.057666
AMIGO2_J	0.242837
AMIGO3_J	0.699347
AMMECR1_J	-0.118171
AMMECR1L_J	0.076227
AMN_J	-0.556331
AMN1_J	-0.091389
AMOT_J	0.191509
AMOTL1_J	0.114509
AMOTL2_J	0.030483
AMPD2_J	-0.191022
AMPD3_J	-0.084538
AMPH_J	-0.024568
AMT_J	0.328267
AMY2B_J	0.217170
AMZ2_J	0.124999
ANAPC1_J	0.002826
ANAPC10_J	0.012540
ANAPC11_J	0.096841
ANAPC13_J	-0.118046
ANAPC16_J	-0.129745
ANAPC2_J	0.299215
ANAPC4_J	0.160950
ANAPC5_J	0.107221
ANAPC7_J	0.093506
ANG_J	-0.658152
ANGEL1_J	0.197362
ANGEL2_J	-0.016614
ANGPT1_J	0.616345
ANGPT2_J	0.038920
ANGPT4_J	-0.230722
ANGPTL2_J	-0.130763
ANGPTL4_J	-0.116617
ANK1_J	-0.369957
ANK2_J	-0.588109
ANK3_J	-0.003594
ANKAR_J	0.194468
ANKDD1A_J	-0.733558
ANKFN1_J	-0.041152
ANKFY1_J	0.242444
ANKH_J	0.578651
ANKHD1_J	0.321973
ANKHD1-EIF4EBP3_J	0.618331
ANKIB1_J	-0.004414
ANKLE1_J	0.223568
ANKLE2_J	0.131884
ANKMY1_J	0.519601
ANKMY2_J	0.062348
ANKRA2_J	-0.413566
ANKRD1_J	0.060913
ANKRD10_J	0.091998
ANKRD11_J	0.047362
ANKRD12_J	-0.083534
ANKRD13A_J	-0.032467
ANKRD13B_J	0.128182
ANKRD13C_J	-0.093620
ANKRD13D_J	-0.016511
ANKRD16_J	-0.122801
ANKRD17_J	-0.075093
ANKRD18A_J	-0.232583
ANKRD18B_J	-0.424226
ANKRD2_J	-0.183482
ANKRD20A1_J	0.009324
ANKRD20A2_J	0.162954
ANKRD20A3_J	-0.086586
ANKRD20A4_J	-0.055380
ANKRD22_J	-0.031695
ANKRD23_J	0.521182
ANKRD24_J	-0.501244
ANKRD26_J	-0.028535
ANKRD27_J	-0.057161
ANKRD28_J	-0.132150
ANKRD29_J	0.817634
ANKRD31_J	-0.148184
ANKRD32_J	0.502553
